ID,Character,Gender,Alive,Title,Forename,Surname,Old Surname,Alias,Book,Page,Chapter Name,POV
638,Todric,M,D,,Todric,,,,A Clash of Kings,486,Theon III,Theon Greyjoy
639,"Andrik, The Unsmiling",M,A,,Andrik,,,The Unsmiling,A Clash of Kings,490,Theon III,Theon Greyjoy
640,Lord Dunstan Drumm,M,A,Lord,Dunstan,Drumm,,,A Clash of Kings,490,Theon III,Theon Greyjoy
641,Lucan,M,D,,Lucan,,,,A Clash of Kings,496,Arya VIII,Arya Stark
642,Ser Lyonel,M,U,Ser,Lyonel,,,,A Clash of Kings,496,Arya VIII,Arya Stark
643,Tuffleberry,M,U,,Tuffleberry,,,,A Clash of Kings,496,Arya VIII,Arya Stark
644,"Rymund, The Rhymer",M,A,,Rymund,,,The Rhymer,A Clash of Kings,504,Catelyn V,Catelyn Tully
645,Enger,M,A,,Enger,,,,A Clash of Kings,511,Catelyn V,Catelyn Tully
646,Delp,M,D,,Delp,,,,A Clash of Kings,511,Catelyn V,Catelyn Tully
647,"Lew, Long Lew",M,A,,Lew,,,Long Lew,A Clash of Kings,511,Catelyn V,Catelyn Tully
648,Poul Pemford,M,D,,Poul,Pemford,,,A Clash of Kings,511,Catelyn V,Catelyn Tully
649,Myles,M,D,,Myles,,,,A Clash of Kings,511,Catelyn V,Catelyn Tully
650,Mathos Mallarawan,M,A,,Mathos,Mallarawan,,,A Clash of Kings,520,Daenerys III,Daenerys Targaryen
651,Wendello Qar Deeth,M,A,,Wendello,Qar Deeth,,,A Clash of Kings,520,Daenerys III,Daenerys Targaryen
652,"Egon Emeros, The Exquisite",M,A,,Egon,Emeros,,The Exquisite,A Clash of Kings,520,Daenerys III,Daenerys Targaryen
653,Ser Osmund Kettleblack,M,A,Ser,Osmund,Kettleblack,,,A Clash of Kings,533,Tyrion IX,Tyrion Lannister
654,Osney Kettleblack,M,A,,Osney,Kettleblack,,,A Clash of Kings,533,Tyrion IX,Tyrion Lannister
655,Osfryd Kettleblack,M,A,,Osfryd,Kettleblack,,,A Clash of Kings,533,Tyrion IX,Tyrion Lannister
656,Ser Bryan Fossoway,M,D,Ser,Bryan,Fossoway,,,A Clash of Kings,547,Davos II,Davos Seaworth
657,Lord Eldon Estermont,M,A,Lord,Eldon,Estermont,,,A Clash of Kings,550,Davos II,Davos Seaworth
658,Ser Erren Florent,M,A,Ser,Erren,Florent,,,A Clash of Kings,556,Davos II,Davos Seaworth
659,Lord Elwood Meadows,M,A,Lord,Elwood,Meadows,,,A Clash of Kings,557,Davos II,Davos Seaworth
660,Rattleshirt,M,D,,Rattleshirt,,,,A Clash of Kings,565,Jon V,Jon Snow
661,"Harma, The Dogshead",F,D,,Harma,,,The Dogshead,A Clash of Kings,565,Jon V,Jon Snow
662,"Alfyn, Crowkiller",M,D,,Alfyn,,,Crowkiller,A Clash of Kings,565,Jon V,Jon Snow
663,The Weeping Man,M,A,,,,,The Weeping Man,A Clash of Kings,569,Jon V,Jon Snow
664,Ebben,M,D,,Ebben,,,,A Clash of Kings,569,Jon V,Jon Snow
665,"Symon, Silver Tongue",M,D,,Symon,,,Silver Tongue,A Clash of Kings,575,Tyrion X,Tyrion Lannister
666,Maester Kym,M,D,Maester,Kym,,,,A Clash of Kings,588,Catelyn VI,Catelyn Tully
667,Lord Deremond,M,F,Lord,,Deremond,,,A Clash of Kings,588,Catelyn VI,Catelyn Tully
668,"Mebble, Pinkeye",M,U,,Mebble,,,Pinkeye,A Clash of Kings,609,Arya IX,Arya Stark
669,Ser Aenys Frey,M,D,Ser,Aenys,Frey,,,A Clash of Kings,611,Arya IX,Arya Stark
670,Ser Cadwyn,M,A,Ser,Cadwyn,,,,A Clash of Kings,611,Arya IX,Arya Stark
671,"Ben, Blackthumb",M,A,,Ben,,,Blackthumb,A Clash of Kings,614,Arya IX,Arya Stark
672,"Shagwell, The Fool",M,D,,Shagwell,,,The Fool,A Clash of Kings,625,Arya IX,Arya Stark
673,Holger,M,U,,Holger,,,,A Clash of Kings,640,Tyrion XI,Tyrion Lannister
674,Wisdom Pollitor,M,U,Wisdom,Pollitor,,,,A Clash of Kings,646,Tyrion XI,Tyrion Lannister
675,Drennan,M,D,,Drennan,,,,A Clash of Kings,652,Theon IV,Theon Greyjoy
676,Squint,M,D,,Squint,,,,A Clash of Kings,652,Theon IV,Theon Greyjoy
677,Aggar,M,D,,Aggar,,,,A Clash of Kings,654,Theon IV,Theon Greyjoy
678,"Gynir, Rednose",M,D,,Gynir,,,Rednose,A Clash of Kings,656,Theon IV,Theon Greyjoy
679,"Dalbridge, Squire Dalbridge",M,D,,Dalbridge,,,Squire Dalbridge,A Clash of Kings,665,Jon VI,Jon Snow
680,Stonesnake,M,U,,Stonesnake,,,,A Clash of Kings,665,Jon VI,Jon Snow
681,Ygritte,F,D,,Ygritte,,,,A Clash of Kings,671,Jon VI,Jon Snow
682,"Lord Brandon Stark, The Daughterless",M,D,Lord,Brandon,Stark,,The Daughterless,A Clash of Kings,674,Jon VI,Jon Snow
683,Jeffory Mallister,M,D,,Jeffory,Mallister,,,A Clash of Kings,721,Catelyn VII,Catelyn Tully
684,Kyle Royce,M,D,,Kyle,Royce,,,A Clash of Kings,721,Catelyn VII,Catelyn Tully
685,Elbert Arryn,M,D,,Elbert,Arryn,,,A Clash of Kings,721,Catelyn VII,Catelyn Tully
686,Kromm,M,U,,Kromm,,,,A Clash of Kings,725,Theon V,Theon Greyjoy
687,Cadwyl,M,U,,Cadwyl,,,,A Clash of Kings,726,Theon V,Theon Greyjoy
688,Ser Imry Florent,M,D,Ser,Imry,Florent,,,A Clash of Kings,740,Davos III,Davos Seaworth
689,Ser Arneld,M,U,Ser,Arneld,,,,A Clash of Kings,758,Tyrion XIII,Tyrion Lannister
690,"Urrathon, Night-walker",M,U,,Urrathon,,,Night-walker,A Clash of Kings,787,Daenerys V,Daenerys Targaryen
691,"Sybassion, Eater of Eyes",M,A,,Sybassion,,,Eater of Eyes,A Clash of Kings,787,Daenerys V,Daenerys Targaryen
692,"Belwas, Strong Belwas",M,A,,Belwas,,,Strong Belwas,A Clash of Kings,796,Daenerys V,Daenerys Targaryen
693,"Walton, Steelshanks",M,A,,Walton,,,Steelshanks,A Clash of Kings,802,Arya X,Arya Stark
694,Septon Utt,M,D,Septon,Utt,,,,A Clash of Kings,802,Arya X,Arya Stark
695,Qyburn,M,A,,Qyburn,,,,A Clash of Kings,802,Arya X,Arya Stark
696,"Urswyck, Faithful Urswyck",M,U,,Urswyck,,,Faithful Urswyck,A Clash of Kings,802,Arya X,Arya Stark
697,Ser Harys Haigh,M,A,Ser,Harys,Haigh,,,A Clash of Kings,802,Arya X,Arya Stark
698,Ser Philip Foote,M,A,Ser,Philip,Foote,,,A Clash of Kings,820,Sansa VIII,Sansa Stark
699,Ser Edwyd Fossoway,M,D,Ser,Edwyd,Fossoway,,,A Clash of Kings,820,Sansa VIII,Sansa Stark
700,Willit,M,A,,Willit,,,,A Clash of Kings,821,Sansa VIII,Sansa Stark
701,"Josmyn Peckledon, Peck",M,A,,Josmyn,Peckledon,,Peck,A Clash of Kings,821,Sansa VIII,Sansa Stark
702,"Ser Bonifer Hasty, The Good",M,A,Ser,Bonifer,Hasty,,The Good,A Clash of Kings,823,Sansa VIII,Sansa Stark
703,"Ser Dermot, Of the Rainwood",M,A,Ser,Dermot,,,Of the Rainwood,A Clash of Kings,823,Sansa VIII,Sansa Stark
704,"Ser Timon, The Scrapesword",M,A,Ser,Timon,,,The Scrapesword,A Clash of Kings,823,Sansa VIII,Sansa Stark
705,"Aurane Waters, Bastard of Driftmark",M,A,,Aurane,Waters,,Bastard of Driftmark,A Clash of Kings,823,Sansa VIII,Sansa Stark
706,Dykk Harlaw,M,U,,Dykk,Harlaw,,,A Clash of Kings,828,Theon VI,Theon Greyjoy
707,Endehar,M,U,,Endehar,,,,A Clash of Kings,828,Theon VI,Theon Greyjoy
708,"Rolfe, Red Rolfe",M,D,,Rolfe,,,Red Rolfe,A Clash of Kings,829,Theon VI,Theon Greyjoy
709,"Harrag Sharp, Sheepstealer",M,D,,Harrag,Sharp,,Sheepstealer,A Clash of Kings,829,Theon VI,Theon Greyjoy
710,"Kenned, The Whale",M,D,,Kenned,,,The Whale,A Clash of Kings,829,Theon VI,Theon Greyjoy
711,"Ramsay Snow, The Bastard of Bolton",M,A,,Ramsay,Snow,,The Bastard of Bolton,A Clash of Kings,838,Theon VI,Theon Greyjoy
712,Maester Ballabar,M,A,Maester,Ballabar,,,,A Clash of Kings,846,Tyrion XV,Tyrion Lannister
713,Ragwyle,M,U,,Ragwyle,,,,A Clash of Kings,859,Jon VIII,Jon Snow
714,Lord Edwyle Stark,M,D,Lord,Edwyle,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
715,Lord Willam Stark,M,D,Lord,Willam,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
716,"Artos Stark, The Implacable",M,D,,Artos,Stark,,The Implacable,A Clash of Kings,865,Bran VII,Bran Stark
717,Lord Donnor Stark,M,D,Lord,Donnor,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
718,Lord Beron Stark,M,D,Lord,Beron,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
719,Lord Rodwell Stark,M,D,Lord,Rodwell,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
720,Lord Jonnel Stark,M,D,Lord,Jonnel,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
721,Lord Barth Stark,M,D,Lord,Barth,Stark,,,A Clash of Kings,865,Bran VII,Bran Stark
722,"King Edwyn Stark, The Spring King",M,D,King,Edwyn,Stark,,The Spring King,A Clash of Kings,865,Bran VII,Bran Stark
723,King Jorah Stark,M,D,King,Jorah,Stark,,,A Clash of Kings,866,Bran VII,Bran Stark
724,King Jonos Stark,M,D,King,Jonos,Stark,,,A Clash of Kings,866,Bran VII,Bran Stark
725,"King Brandon Stark, The Bad",M,D,King,Brandon,Stark,,The Bad,A Clash of Kings,866,Bran VII,Bran Stark
726,"King Walton Stark, The Moon King",M,D,King,Walton,Stark,,The Moon King,A Clash of Kings,866,Bran VII,Bran Stark
727,"King Edderion Stark, The Bridegroom",M,D,King,Edderion,Stark,,The Bridegroom,A Clash of Kings,866,Bran VII,Bran Stark
728,King Eyron Stark,M,D,King,Eyron,Stark,,,A Clash of Kings,866,Bran VII,Bran Stark
729,"King Benjen Stark, The Sweet",M,D,King,Benjen,Stark,,The Sweet,A Clash of Kings,866,Bran VII,Bran Stark
730,"King Benjen Stark, The Bitter",M,D,King,Benjen,Stark,,The Bitter,A Clash of Kings,866,Bran VII,Bran Stark
731,"King Edrick Stark, Snowbeard",M,D,King,Edrick,Stark,,Snowbeard,A Clash of Kings,866,Bran VII,Bran Stark
732,Ser Aemon Estermont,M,A,Ser,Aemon,Estermont,,,A Clash of Kings,880,Appendix,N/A
733,Ser Alyn Estermont,M,A,Ser,Alyn,Estermont,,,A Clash of Kings,880,Appendix,N/A
734,Lady Shyra Errol,F,D,Lady,Shyra,Errol,,,A Clash of Kings,880,Appendix,N/A
735,Ser Donnel Swann,M,A,Ser,Donnel,Swann,,,A Clash of Kings,881,Appendix,N/A
736,Maester Jurne,M,A,Maester,Jurne,,,,A Clash of Kings,881,Appendix,N/A
737,Ser Lomas Estermont,M,A,Ser,Lomas,Estermont,,,A Clash of Kings,882,Appendix,N/A
738,Ser Andrew Estermont,M,A,Ser,Andrew,Estermont,,,A Clash of Kings,882,Appendix,N/A
739,Stannis Seaworth,M,A,,Stannis,Seaworth,,,A Clash of Kings,883,Appendix,N/A
740,Steffon Seaworth,M,A,,Steffon,Seaworth,,,A Clash of Kings,883,Appendix,N/A
741,Lyman Darry,M,D,,Lyman,Darry,,,A Clash of Kings,887,Appendix,N/A
742,Ser Halmon Paege,M,A,Ser,Halmon,Paege,,,A Clash of Kings,887,Appendix,N/A
743,Berena Tallhart (Hornwood),F,A,,Berena,Tallhart,Hornwood,,A Clash of Kings,887,Appendix,N/A
744,Brandon Tallhart,M,A,,Brandon,Tallhart,,,A Clash of Kings,887,Appendix,N/A
745,Eddara Tallhart,F,A,,Eddara,Tallhart,,,A Clash of Kings,887,Appendix,N/A
746,Lady Sybelle Glover (Locke),F,A,Lady,Sybelle,Glover,Locke,,A Clash of Kings,887,Appendix,N/A
747,Gawen Glover,M,A,,Gawen,Glover,,,A Clash of Kings,887,Appendix,N/A
748,Erena Glover,F,A,,Erena,Glover,,,A Clash of Kings,887,Appendix,N/A
749,"Ser Robert Brax, Brother of Flement",M,D,Ser,Robert,Brax,,Brother of Flement,A Clash of Kings,894,Appendix,N/A
750,Captain Igon Vyrwel,M,A,Captain,Igon,Vyrwel,,,A Clash of Kings,896,Appendix,N/A
751,Butterbumps,M,A,,Butterbumps,,,,A Clash of Kings,896,Appendix,N/A
752,Lady Melara Florent (Crane),F,A,Lady,Melara,Florent,Crane,,A Clash of Kings,899,Appendix,N/A
753,Alekyne Florent,M,A,,Alekyne,Florent,,,A Clash of Kings,899,Appendix,N/A
754,Lady Melessa Tarly (Florent),F,A,Lady,Melessa,Tarly,Florent,,A Clash of Kings,899,Appendix,N/A
755,Lady Rhea Hightower (Florent),F,A,Lady,Rhea,Hightower,Florent,,A Clash of Kings,899,Appendix,N/A
756,Ser Ryam Florent,M,D,Ser,Ryam,Florent,,,A Clash of Kings,899,Appendix,N/A
757,Ser Colin Florent,M,A,Ser,Colin,Florent,,,A Clash of Kings,899,Appendix,N/A
758,Ser Hosman Norcross,M,A,Ser,Hosman,Norcross,,,A Clash of Kings,899,Appendix,N/A
759,Alester Norcross,M,A,,Alester,Norcross,,,A Clash of Kings,899,Appendix,N/A
760,Renly Norcross,M,A,,Renly,Norcross,,,A Clash of Kings,899,Appendix,N/A
761,Maester Omer (Florent),M,A,Maester,Omer,,Florent,,A Clash of Kings,900,Appendix,N/A
762,Merrell Florent,M,A,,Merrell,Florent,,,A Clash of Kings,900,Appendix,N/A
763,Rylene Crane (Florent),F,A,,Rylene,Crane,Florent,,A Clash of Kings,900,Appendix,N/A
764,Ser Rycherd Crane,M,A,Ser,Rycherd,Crane,,,A Clash of Kings,900,Appendix,N/A
765,Lord Waldon Wynch,M,A,Lord,Waldon,Wynch,,,A Clash of Kings,902,Appendix,N/A
766,"Lord Rodrik Harlaw, The Reader",M,A,Lord,Rodrik,Harlaw,,The Reader,A Clash of Kings,902,Appendix,N/A
767,"Lord Stonehouse, The Stonehouse",M,A,Lord,,Stonehouse,,The Stonehouse,A Clash of Kings,902,Appendix,N/A
768,Lord Norne Goodbrother,M,A,Lord,Norne,Goodbrother,,,A Clash of Kings,902,Appendix,N/A
769,"Lord Meldred Merlyn, The Merlyn",M,A,Lord,Meldred,Merlyn,,The Merlyn,A Clash of Kings,902,Appendix,N/A
770,"Lord Sparr, The Sparr",M,A,Lord,,Sparr,,The Sparr,A Clash of Kings,902,Appendix,N/A
771,Lord Baelor Blacktyde,M,D,Lord,Baelor,Blacktyde,,,A Clash of Kings,902,Appendix,N/A
772,Lord Donnor Saltcliffe,M,A,Lord,Donnor,Saltcliffe,,,A Clash of Kings,902,Appendix,N/A
773,Lord Sunderly,M,A,Lord,,Sunderly,,,A Clash of Kings,902,Appendix,N/A
774,Ser Marwyn Belmore,M,A,Ser,Marwyn,Belmore,,,A Clash of Kings,903,Appendix,N/A
775,"Myranda Royce, Randa",F,A,,Myranda,Royce,,Randa,A Clash of Kings,904,Appendix,N/A
776,Lady Perra Frey (Royce),F,D,Lady,Perra,Frey,Royce,,A Clash of Kings,905,Appendix,N/A
777,Lady Corenna Frey (Swann),F,D,Lady,Corenna,Frey,Swann,,A Clash of Kings,905,Appendix,N/A
778,Ser Ryman Frey,M,D,Ser,Ryman,Frey,,,A Clash of Kings,905,Appendix,N/A
779,Edwyn Frey,M,A,,Edwyn,Frey,,,A Clash of Kings,905,Appendix,N/A
780,Janyce Frey (Hunter),F,A,,Janyce,Frey,Hunter,,A Clash of Kings,905,Appendix,N/A
781,"Walda Frey, Daughter of Edwyn",F,A,,Walda,Frey,,Daughter of Edwyn,A Clash of Kings,905,Appendix,N/A
782,"Petyr Frey, Petyr Pimple",M,D,,Petyr,Frey,,Petyr Pimple,A Clash of Kings,905,Appendix,N/A
783,Mylenda Frey (Caron),F,A,,Mylenda,Frey,Caron,,A Clash of Kings,905,Appendix,N/A
784,"Perra Frey, Daughter of Petyr",F,A,,Perra,Frey,,Daughter of Petyr,A Clash of Kings,905,Appendix,N/A
785,Lady Jeyne Frey (Lydden),F,D,Lady,Jeyne,Frey,Lydden,,A Clash of Kings,905,Appendix,N/A
786,"Aegon Frey, Jinglebell",M,D,,Aegon,Frey,,Jinglebell,A Clash of Kings,905,Appendix,N/A
787,Maegelle Vance (Frey),F,D,,Maegelle,Vance,Frey,,A Clash of Kings,906,Appendix,N/A
788,Ser Dafyn Vance,M,A,Ser,Dafyn,Vance,,,A Clash of Kings,906,Appendix,N/A
789,Marianne Vance,F,A,,Marianne,Vance,,,A Clash of Kings,906,Appendix,N/A
790,Walder Vance,M,A,,Walder,Vance,,,A Clash of Kings,906,Appendix,N/A
791,Patrek Vance,M,A,,Patrek,Vance,,,A Clash of Kings,906,Appendix,N/A
792,Marsella Frey (Waynwood),F,D,,Marsella,Frey,Waynwood,,A Clash of Kings,906,Appendix,N/A
793,"Walton Frey, Son of Stevron",M,A,,Walton,Frey,,Son of Stevron,A Clash of Kings,906,Appendix,N/A
794,Deana Frey (Hardyng),F,A,,Deana,Frey,Hardyng,,A Clash of Kings,906,Appendix,N/A
795,"Steffon Frey, Son of Walton, The Sweet",M,A,,Steffon,Frey,,"Son of Walton, The Sweet",A Clash of Kings,906,Appendix,N/A
796,"Walda Frey, Daughter of Walton, Fair Walda",F,A,,Walda,Frey,,"Daughter of Walton, Fair Walda",A Clash of Kings,906,Appendix,N/A
797,Bryan Frey,M,A,,Bryan,Frey,,,A Clash of Kings,906,Appendix,N/A
798,"Tywin Frey, Son of Ser Cleos",M,A,,Tywin,Frey,,Son of Ser Cleos,A Clash of Kings,906,Appendix,N/A
799,Willem Frey,M,A,,Willem,Frey,,,A Clash of Kings,906,Appendix,N/A
800,Melesa Frey (Crakehall),F,A,,Melesa,Frey,Crakehall,,A Clash of Kings,906,Appendix,N/A
801,Tyana Frey (Wylde),F,A,,Tyana,Frey,Wylde,,A Clash of Kings,906,Appendix,N/A
802,"Aegon Frey, Son of Aenys, Bloodborn",M,A,,Aegon,Frey,,"Son of Aenys, Bloodborn",A Clash of Kings,906,Appendix,N/A
803,"Rhaegar Frey, Son of Aenys",M,D,,Rhaegar,Frey,,Son of Aenys,A Clash of Kings,906,Appendix,N/A
804,"Jeyne Frey (Beesbury), Wife of Stevron",F,D,,Jeyne,Frey,Beesbury,Wife of Stevron,A Clash of Kings,906,Appendix,N/A
805,"Robert Frey, Son of Rhaegar Frey",M,A,,Robert,Frey,,Son of Rhaegar Frey,A Clash of Kings,906,Appendix,N/A
806,"Walda Frey, Daughter of Rhaegar Frey, White Walda",F,A,,Walda,Frey,,"Daughter of Rhaegar Frey, White Walda",A Clash of Kings,906,Appendix,N/A
807,Jonos Frey,M,A,,Jonos,Frey,,,A Clash of Kings,906,Appendix,N/A
808,Perriane Haigh (Frey),F,A,,Perriane,Haigh,Frey,,A Clash of Kings,906,Appendix,N/A
809,Ser Leslyn Haigh,M,A,Ser,Leslyn,Haigh,,,A Clash of Kings,906,Appendix,N/A
810,Walder Haigh,M,A,,Walder,Haigh,,,A Clash of Kings,906,Appendix,N/A
811,Ser Donnel Haigh,M,A,Ser,Donnel,Haigh,,,A Clash of Kings,906,Appendix,N/A
812,Alyn Haigh,M,A,,Alyn,Haigh,,,A Clash of Kings,906,Appendix,N/A
813,Lady Cyrenna Frey (Swann),F,D,Lady,Cyrenna,Frey,Swann,,A Clash of Kings,906,Appendix,N/A
814,Alys Frey,F,D,,Alys,Frey,,,A Clash of Kings,906,Appendix,N/A
815,Ser Tytos Frey,M,D,Ser,Tytos,Frey,,,A Clash of Kings,906,Appendix,N/A
816,Zhoe Frey (Blanetree),F,A,,Zhoe,Frey,Blanetree,,A Clash of Kings,906,Appendix,N/A
817,Zia Frey,F,A,,Zia,Frey,,,A Clash of Kings,906,Appendix,N/A
818,Zachery Frey,M,A,,Zachery,Frey,,,A Clash of Kings,906,Appendix,N/A
819,Kyra Goodbrook (Frey),F,A,,Kyra,Goodbrook,Frey,,A Clash of Kings,907,Appendix,N/A
820,Walder Goodbrook,M,A,,Walder,Goodbrook,,,A Clash of Kings,907,Appendix,N/A
821,Jeyne Goodbrook,F,A,,Jeyne,Goodbrook,,,A Clash of Kings,907,Appendix,N/A
822,Septon Luceon (Frey),M,A,Septon,Luceon,,Frey,,A Clash of Kings,907,Appendix,N/A
823,Lady Amarei Frey (Crakehall),F,D,Lady,Amarei,Frey,Crakehall,,A Clash of Kings,907,Appendix,N/A
824,Bellena Frey (Hawick),F,A,,Bellena,Frey,Hawick,,A Clash of Kings,907,Appendix,N/A
825,Ser Arwood Frey,M,A,Ser,Arwood,Frey,,,A Clash of Kings,907,Appendix,N/A
826,Ryella Frey (Royce),F,A,,Ryella,Frey,Royce,,A Clash of Kings,907,Appendix,N/A
827,"Ryella Frey, Daughter of Arwood",F,A,,Ryella,Frey,,Daughter of Arwood,A Clash of Kings,907,Appendix,N/A
828,Androw Frey,M,A,,Androw,Frey,,,A Clash of Kings,907,Appendix,N/A
829,Alyn Frey,M,A,,Alyn,Frey,,,A Clash of Kings,907,Appendix,N/A
830,Lady Lythene Vypren (Frey),F,A,Lady,Lythene,Vypren,Frey,,A Clash of Kings,907,Appendix,N/A
831,Lucias Vypren,M,A,,Lucias,Vypren,,,A Clash of Kings,907,Appendix,N/A
832,Elyana Wylde (Vypren),F,A,,Elyana,Wylde,Vypren,,A Clash of Kings,907,Appendix,N/A
833,Jon Wylde,M,A,,Jon,Wylde,,,A Clash of Kings,907,Appendix,N/A
834,Rickard Wylde,M,A,,Rickard,Wylde,,,A Clash of Kings,907,Appendix,N/A
835,Ser Damon Vypren,M,A,Ser,Damon,Vypren,,,A Clash of Kings,907,Appendix,N/A
836,Symond Frey,M,D,,Symond,Frey,,,A Clash of Kings,907,Appendix,N/A
837,"Betharios Frey, Of Braavos",F,A,,Betharios,Frey,,Of Braavos,A Clash of Kings,907,Appendix,N/A
838,Alesander Frey,M,A,,Alesander,Frey,,,A Clash of Kings,907,Appendix,N/A
839,Alyx Frey,F,A,,Alyx,Frey,,,A Clash of Kings,907,Appendix,N/A
840,Bradamar Frey,M,A,,Bradamar,Frey,,,A Clash of Kings,907,Appendix,N/A
841,Oro Tendyris,M,A,,Oro,Tendyris,,,A Clash of Kings,907,Appendix,N/A
842,Wynafrei Frey (Whent),F,A,,Wynafrei,Frey,Whent,,A Clash of Kings,907,Appendix,N/A
843,Lady Mariya Frey (Darry),F,A,Lady,Mariya,Frey,Darry,,A Clash of Kings,907,Appendix,N/A
844,"Amerei Frey, Gatehouse Ami",F,A,,Amerei,Frey,,Gatehouse Ami,A Clash of Kings,907,Appendix,N/A
845,"Ser Pate, Of the Blue Fork, Of Sevenstreams",M,D,Ser,Pate,,,"Of the Blue Fork, Of Sevenstreams",A Clash of Kings,907,Appendix,N/A
846,"Walda Frey, Fat Walda, Daughter of Merrett",F,A,,Walda,Frey,,"Fat Walda, Daughter of Merrett",A Clash of Kings,907,Appendix,N/A
847,Marissa Frey,F,A,,Marissa,Frey,,,A Clash of Kings,907,Appendix,N/A
848,Ser Geremy Frey,M,D,Ser,Geremy,Frey,,,A Clash of Kings,907,Appendix,N/A
849,Carolei Frey (Waynwood),F,A,,Carolei,Frey,Waynwood,,A Clash of Kings,907,Appendix,N/A
850,Sandor Frey,M,A,,Sandor,Frey,,,A Clash of Kings,907,Appendix,N/A
851,Cynthea Frey,F,A,,Cynthea,Frey,,,A Clash of Kings,907,Appendix,N/A
852,Ser Raymund Frey,M,A,Ser,Raymund,Frey,,,A Clash of Kings,908,Appendix,N/A
853,Beony Frey (Beesbury),F,A,,Beony,Frey,Beesbury,,A Clash of Kings,908,Appendix,N/A
854,"Robert Frey, Son of Raymund",M,A,,Robert,Frey,,Son of Raymund,A Clash of Kings,908,Appendix,N/A
855,Malwyn Frey,M,A,,Malwyn,Frey,,,A Clash of Kings,908,Appendix,N/A
856,Serra Frey,F,A,,Serra,Frey,,,A Clash of Kings,908,Appendix,N/A
857,Sarra Frey,F,A,,Sarra,Frey,,,A Clash of Kings,908,Appendix,N/A
858,"Cersei Frey, Little Bee",F,A,,Cersei,Frey,,Little Bee,A Clash of Kings,908,Appendix,N/A
859,Lady Alyssa Frey (Blackwood),F,D,Lady,Alyssa,Frey,Blackwood,,A Clash of Kings,908,Appendix,N/A
860,"Lothar Frey, Lame Lothar",M,A,,Lothar,Frey,,Lame Lothar,A Clash of Kings,908,Appendix,N/A
861,Leonella Frey (Lefford),F,A,,Leonella,Frey,Lefford,,A Clash of Kings,908,Appendix,N/A
862,Tysane Frey,F,A,,Tysane,Frey,,,A Clash of Kings,908,Appendix,N/A
863,"Walda Frey, Daughter of Lothar",F,A,,Walda,Frey,,Daughter of Lothar,A Clash of Kings,908,Appendix,N/A
864,Emberlei Frey,F,A,,Emberlei,Frey,,,A Clash of Kings,908,Appendix,N/A
865,Sallei Frey (Paege),F,A,,Sallei,Frey,Paege,,A Clash of Kings,908,Appendix,N/A
866,Dickon Frey,M,A,,Dickon,Frey,,,A Clash of Kings,908,Appendix,N/A
867,Mathis Frey,M,A,,Mathis,Frey,,,A Clash of Kings,908,Appendix,N/A
868,Ser Whalen Frey,M,A,Ser,Whalen,Frey,,,A Clash of Kings,908,Appendix,N/A
869,Sylwa Frey (Paege),F,A,,Sylwa,Frey,Paege,,A Clash of Kings,908,Appendix,N/A
870,Hoster Frey,M,A,,Hoster,Frey,,,A Clash of Kings,908,Appendix,N/A
871,Ser Damon Paege,M,A,Ser,Damon,Paege,,,A Clash of Kings,908,Appendix,N/A
872,"Merianne Frey, Merry",F,A,,Merianne,Frey,,Merry,A Clash of Kings,908,Appendix,N/A
873,Lady Morya Brax (Frey),F,A,Lady,Morya,Brax,Frey,,A Clash of Kings,908,Appendix,N/A
874,"Robert Brax, Son of Flement",M,A,,Robert,Brax,,Son of Flement,A Clash of Kings,908,Appendix,N/A
875,Walder Brax,M,A,,Walder,Brax,,,A Clash of Kings,908,Appendix,N/A
876,Jon Brax,M,A,,Jon,Brax,,,A Clash of Kings,908,Appendix,N/A
877,"Tyta Frey, The Maid",F,A,,Tyta,Frey,,The Maid,A Clash of Kings,908,Appendix,N/A
878,Lady Sarya Frey (Whent),F,D,Lady,Sarya,Frey,Whent,,A Clash of Kings,908,Appendix,N/A
879,Lady Bethany Frey (Rosby),F,D,Lady,Bethany,Frey,Rosby,,A Clash of Kings,908,Appendix,N/A
880,Ser Benfrey Frey,M,D,Ser,Benfrey,Frey,,,A Clash of Kings,908,Appendix,N/A
881,Jyanna Frey,F,A,,Jyanna,Frey,,,A Clash of Kings,908,Appendix,N/A
882,"Della Frey, Deaf Della",F,A,,Della,Frey,,Deaf Della,A Clash of Kings,909,Appendix,N/A
883,Osmund Frey,M,A,,Osmund,Frey,,,A Clash of Kings,909,Appendix,N/A
884,Maester Willamen (Frey),M,A,Maester,Willamen,,Frey,,A Clash of Kings,909,Appendix,N/A
885,Roslin Frey,F,A,,Roslin,Frey,,,A Clash of Kings,909,Appendix,N/A
886,Lady Annara Frey (Farring),F,D,Lady,Annara,Frey,Farring,,A Clash of Kings,909,Appendix,N/A
887,Arwyn Frey,F,A,,Arwyn,Frey,,,A Clash of Kings,909,Appendix,N/A
888,Wendel Frey,M,A,,Wendel,Frey,,,A Clash of Kings,909,Appendix,N/A
